OID_,epafacilityid,epafacilityid_str,lastoffacilityname,lastofparentcompanyname,maxofreceiptdate,lastoffacilityduns,lastoffacilitystr1,lastoffacilitystr2,lastoffacilitycity,lastoffacilitystate,lastoffacilityzipcode,lastofcounty_name,firstofnaicscode,firstofnaics_description,latitude,longitude,lastofhorizontalrefdatumcode,lastoflatlongdescription,feat_desc,lastoffte,oshapsm,epcra302,caa_titlev,clearairoppermitid,lastofsafetyinspectiondate,lastofsafetyinspectionby,deregistrationdate,deregistrationreasoncode,safety_rating
3763,1E+11,EPA100000216919,Kinder Morgan Curtis Bay,"KM Liquid Terminals, LLC",3-Mar-17,0,801 East Ordnance Road,,Curtis Bay,MD,21226,ANNE ARUNDEL,49319,Other Warehousing and Storage,39.208668,-76.590546,3,ST,Storage Tank,10,1,0,1,240030309,1-Feb-12,Fire Marshal,,,2
3766,1E+11,EPA100000217044,DIETZ AND WATSON INC,Dietz and Watson Inc,26-Jan-17,0,3330 HENRY G PARKS JR CIRCLE,,BALTIMORE,MD,21215,BALTIMORE CITY,311612,Meat Processed from Carcasses,39.325371,-76.658905,3,AB,Administrative Building,125,1,1,0,,,OSHA,,,3
3867,1E+11,EPA100000220352,"Cuisine Solutions, Inc.",,2-May-18,0,1501 Moran Road,,Sterling,VA,20166,LOUDOUN,311991,Perishable Prepared Food Manufacturing,38.994476,-77.444374,3,PG,Plant Entrance (General),35,1,1,0,,26-Apr-18,Fire Department,,,1
3882,1E+11,EPA100000220646,Chesapeake Terminal,"Kinder Morgan Liquids Terminals, LLC",28-Dec-17,0,4115 Buell Street,,Chesapeake,VA,23324,CHESAPEAKE (CITY),42471,Petroleum Bulk Stations and Terminals,36.784634,-76.296768,3,ST,Storage Tank,4,1,0,0,,21-Sep-17,Chesapeake Fire Department,,,1
3899,1E+11,EPA100000221217,Buckingham Yard,Buckingham Branch Railroad Company,11-Jan-18,198666729,18983 N. James Madison Highway,,Dillwyn,VA,23936,BUCKINGHAM,42471,Petroleum Bulk Stations and Terminals,37.56041,-78.437408,3,CE,Center of Facility,3,1,0,0,,8-Apr-15,FRA,,,1
3954,1E+11,EPA100000223028,Roanoke Terminal,"Kinder Morgan Southeast Terminals, LLC",20-Nov-18,0,835 Hollins Road NE,,Roanoke,VA,24012,ROANOKE (CITY),42471,Petroleum Bulk Stations and Terminals,37.28059,-79.919975,3,ST,Storage Tank,5,1,0,0,,12-Jun-14,Fire Marshall,,,4
3973,1E+11,EPA100000223625,Manassas Terminal,"Sunoco Partners Marketing & Terminals, L.P.",3-Dec-18,0,10315 Balls Ford Road,,Manassas,VA,20109,PRINCE WILLIAM,42471,Petroleum Bulk Stations and Terminals,38.800751,-77.50367,3,ST,Storage Tank,3,1,0,1,5115300060,10-Aug-13,Prince William County,,,3
3995,1E+11,EPA100000224296,FUJIFILM Wako Chemicals U.S.A. Corporation,FUJIFILM Wako Holdings U.S.A. Corporation,1-Apr-19,184758584,1600 Bellwood Road,,Richmond,VA,23237,CHESTERFIELD,32599,All Other Chemical Product and Preparation Manufacturing,37.4174,-77.419426,3,ST,Storage Tank,76,1,1,0,,11-Apr-17,EPA,,,1
4002,1E+11,EPA100000224688,Newington 1 Terminal,"Kinder Morgan Southeast Terminals, LLC",11-Feb-19,41049727,8200 Terminal Road,,Newington,VA,22122,FAIRFAX,42471,Petroleum Bulk Stations and Terminals,38.733833,-77.192215,3,ST,Storage Tank,10,1,0,1,70087,30-Nov-17,State occupational safety agency,,,3
4019,1E+11,EPA100000225106,SpartanNash,SpartanNash,15-Mar-19,6959613,6304 Sheriff Road,,Landover,MD,20785,PRINCE GEORGE'S,49312,Refrigerated Warehousing and Storage,38.910423,-76.897148,3,CE,Center of Facility,180,0,1,0,,13-Feb-19,EPA,,,5
4111,1E+11,EPA100000227998,"Sabra Dipping Company, LLC - Colonial Heights",,23-Dec-19,0,15900 Sabra Way,,Colonial Heights,VA,23834,CHESTERFIELD,311999,All Other Miscellaneous Food Manufacturing,37.302441,-77.374397,3,PU,Process Unit,650,1,1,0,,9-Dec-19,Liberty Mutual Safety Audit,,,2
4142,1E+11,EPA100000229077,Andros Foods North America,,27-Apr-20,3069812,10119 Old Valley Pike,,Mt. Jackson,VA,22842,SHENANDOAH,31142,"Fruit and Vegetable Canning, Pickling, and Drying",38.766991,-78.625,3,AB,Administrative Building,600,1,1,1,,4-Jul-19,Fire Marshal,,,1
4144,1E+11,EPA100000229184,Garrison Energy Center LLC,,9-Apr-20,79267041,450 Garrison Oak Drive,,Dover,DE,19901,KENT,22111,Electric Power Generation,39.186745,-75.499519,3,ST,Storage Tank,20,1,1,1,1.00E+11,19-Apr-18,OSHA,,,1
4363,1E+11,EPA100000235328,MDV Spartan Nash,,19-Apr-17,79591382,1133 Kingwood Avenue,,Norfolk,VA,23502,NORFOLK (CITY),49312,Refrigerated Warehousing and Storage,36.857166,-76.239021,3,CE,Center of Facility,200,1,0,0,,4-Aug-11,Fire Department,12-Feb-19,4,2
4364,1E+11,EPA100000235337,"Lehigh Cement Company, LLC",Lehigh Hanson,24-Aug-21,3064854,675 Quaker Hill Road,,Union Bridge,MD,21791,CARROLL,32731,Cement Manufacturing,39.561047,-77.171173,3,ST,Storage Tank,160,0,1,1,24-013-0012,7-Jun-21,MSHA,,,1
4402,1E+11,EPA100000236096,"Roto-Die Company, Inc. dba Micrometrics Systems",Rotometrics Holdings Inc.,21-Aug-17,42667303,225 Jeb Stuart Highway,,Meadows of Dan,VA,24120,PATRICK,33271,Machine Shops,36.735832,-80.450546,3,PU,Process Unit,146,1,1,0,,6-Jan-15,State occupational safety agency,,,4
4411,1E+11,EPA100000236292,"Pike Baltimore Terminal, LLC","Pike Baltimore Terminal, LLC",27-Jul-17,0,1955 Chesapeake Avenue,,Baltimore,MD,21226,BALTIMORE CITY,42471,Petroleum Bulk Stations and Terminals,39.241943,-76.572502,3,LC,Loading Area Centroid,10,1,0,0,,30-May-19,U.S. Coast Guard,,,2
4464,1E+11,EPA100000237638,Aldi Incorporated,,25-Mar-18,6940423,8751 Gas House Pike,,Frederick,MD,21701,FREDERICK,49312,Refrigerated Warehousing and Storage,39.434326,-77.362404,3,AS,Air Release Stack,300,1,0,0,,10-Jul-13,ALDI Mock OSHA Inspection,11-Dec-19,4,3
4484,1E+11,EPA100000238218,CPT Fredericksburg Terminal,"Colonial Enterprises, Inc.",15-Mar-18,0,3300 Beulah Salisbury Drive,,Fredericksburg,VA,22401,FREDERICKSBURG (CITY),42471,Petroleum Bulk Stations and Terminals,38.284916,-77.450623,3,CE,Center of Facility,4,1,1,0,,12-Mar-18,City of Fredericksburg,,,2
4505,1E+11,EPA100000238771,"Blue Ridge Solvents and Coatings, Inc.",,17-Jul-18,118224075,3800 Original Henry Road,,Henry,VA,24102,FRANKLIN,42469,Other Chemical and Allied Products Merchant Wholesalers,36.827484,-79.990143,3,PC,Process Unit Area Centroid,13,0,1,1,30229,23-May-18,OSHA,,,1
4524,1E+11,EPA100000239217,Aldi Inc. Virginia,,19-Jul-18,0,6801 Aldi Way,,Petersburg,VA,23803,DINWIDDIE,49312,Refrigerated Warehousing and Storage,37.181301,-77.488899,3,AB,Administrative Building,140,1,1,0,,,Never had one,,,1
4648,1E+11,EPA100000242258,Dairy Maid Dairy,,24-Jul-19,0,259 E 7th Street,,Frederick,MD,21701,FREDERICK,311511,Fluid Milk Manufacturing,39.422684,-77.405701,3,PG,Plant Entrance (General),160,1,1,0,,29-May-19,Fire Department,,,1
4772,1E+11,EPA100000245451,"IKO Northeast, Inc.",IKO Industries,10-Mar-21,63201092,160 IKO Way,,Hagerstown,MD,21740,WASHINGTON,339999,All Other Miscellaneous Manufacturing,39.638439,-77.760315,3,PG,Plant Entrance (General),40,1,1,0,,,Never had one,,,2
4814,1E+11,EPA100000246922,Airgas USA LLC,,15-Jun-21,0,8130 Norris Lane,,Dundalk,MD,21222,BALTIMORE,42469,Other Chemical and Allied Products Merchant Wholesalers,39.285149,-76.486969,3,ST,Storage Tank,15,1,1,0,,,Fire Department,,,1
4824,1E+11,EPA100000247253,Petersburg Terminal,Lincoln Terminal Company,17-Sep-21,0,1301 East Washington Street,,Petersburg,VA,23803,PETERSBURG (CITY),48821,Support Activities for Rail Transportation,37.237598,-77.382446,3,CE,Center of Facility,0,1,0,0,,8-Sep-21,Fire Department,,,2
4827,1E+11,EPA100000247431,"Organic Plant, LLC","Organic Plant, LLC",8-Sep-21,0,350 Acorn Drive,,Harrisonburg,VA,22802,HARRISONBURG (CITY),311615,Poultry Processing,38.471535,-78.861656,3,FC,Facility Centroid,140,1,1,0,,,Never had one,,,3
4916,1E+11,EPA100000025073,"Kuehne Chemical Co., Inc. - Delaware City","Kuehne Chemical Co., Inc.",15-Jun-18,157688847,1645 River Road,,New Castle,DE,19720,NEW CASTLE,32518,Other Basic Inorganic Chemical Manufacturing,39.64389,-75.629723,1,CE,Center of Facility,50,1,1,1,AQM-003/00115,31-Mar-16,State environmental agency,,,5
4952,1E+11,EPA100000034465,North River Wastewater Treatment Plant,Harrisonburg-Rockingham Regional Sewer Authority,18-Jun-04,0,856 North River Road,,Mt. Crawford,VA,22841,ROCKINGHAM,22132,Sewage Treatment Facilities,38.343418,-78.930107,1,PU,Process Unit,22,1,1,0,,17-Feb-97,State occupational safety agency,7-Jun-07,2,3
4977,1E+11,EPA100000040261,Sasol North America Inc.,,12-Oct-05,3065984,3441 Fairfield Road,,Baltimore,MD,21226,BALTIMORE CITY,325192,Cyclic Crude and Intermediate Manufacturing,39.236111,-76.571945,1,PU,Process Unit,65,1,1,1,24-510-00100,8-May-03,EPA,12-Dec-07,3,2
4981,1E+11,EPA100000042492,Stonewall Plant,Merck Sharp & Dohme Corporation,29-Apr-14,1705110,2778 South East Side Highway,,Elkton,VA,22827,ROCKINGHAM,325412,Pharmaceutical Preparation Manufacturing,38.383167,-78.650497,1,OT,Other,725,1,1,1,VRO80524,16-Jun-10,EPA,6-Jul-15,1,1
5046,1E+11,EPA100000056556,New River Pump Station,Pepper's Ferry Regional Wastewater,10-Mar-05,0,5900 Dudley Ferry Road,,Radford,VA,24141,PULASKI,22132,Sewage Treatment Facilities,37.144444,-80.565277,1,CE,Center of Facility,0,1,1,0,,25-Feb-05,Fire Department,1-Mar-07,2,2
5047,1E+11,EPA100000056743,Pepper's Ferry Regional Wastewater Treatment Plant,,19-Feb-10,181823766,7797 Mason Street,,Radford,VA,24141,PULASKI,22132,Sewage Treatment Facilities,37.167221,-80.559441,1,CE,Center of Facility,23,1,1,0,,17-Dec-09,Fire Department,21-Aug-12,2,1
5067,1E+11,EPA100000061755,Hopewell Plant,AdvanSix Inc.,5-Sep-17,65385296,905 East Randolph Road,,Hopewell,VA,23860,PRINCE GEORGE,32519,Other Basic Organic Chemical Manufacturing,37.304169,-77.272499,1,CE,Center of Facility,700,1,1,1,50232,29-Apr-21,USCG Gov. Initiated Unannounced Exercise simulated,,,3
5106,1E+11,EPA100000071619,"Giant Resource Recovery - Arvonia, Inc.","Giant Resource Recovery - Arvonia, Inc.",9-Nov-06,0,State Route 652,,Arvonia,VA,23004,BUCKINGHAM,562211,Hazardous Waste Treatment and Disposal,37.708332,-78.324997,1,ST,Storage Tank,19,0,1,1,VA-30200,19-Sep-06,MSHA,26-Jun-09,1,1
5126,1E+11,EPA100000075848,Conaway Wastewater Treatment Plant,Buchanan County Public Service Authority,13-May-19,0,1122 conaway road,,Bigrock,VA,24603,BUCHANAN,22132,Sewage Treatment Facilities,37.34861,-82.209442,1,CE,Center of Facility,5,0,1,0,,20-Feb-19,State environmental agency,,,1
5134,1E+11,EPA100000078881,City of Radford Water Treatment Plant,,24-Oct-19,76531206,20 Forest Avenue,,Radford,VA,24141,RADFORD (CITY),22131,Water Supply and Irrigation Systems,37.110657,-80.592064,1,CE,Center of Facility,11,1,1,0,,10-Oct-19,State occupational safety agency,,,4
5292,1E+11,EPA100000113432,Potomac Water Filtration Plant,Washington Suburban Sanitary Commission,20-Aug-19,883279549,12200 River Road,,Potomac,MD,20854,MONTGOMERY,22131,Water Supply and Irrigation Systems,39.044823,-77.26136,1,AB,Administrative Building,27,0,1,0,,1-May-18,State occupational safety agency,,,3
5303,1E+11,EPA100000115797,Goose Creek Water Treatment Plant,"City of Fairfax,VA",26-Mar-10,0,20521 Belmont Ridge Road,,Ashburn,VA,20147,LOUDOUN,22131,Water Supply and Irrigation Systems,39.047779,-77.520554,1,SE,SE Corner of Land Parcel,14,1,1,0,,9-Dec-09,"Dennis Chlorination (Dennis Sales & Service, Inc.)",2-Jul-14,2,3
5321,1E+11,EPA100000124055,Chesapeake Energy Center,"Dominion Resources, Inc.",28-Feb-13,7941446,2701 Vepco Street,,Chesapeake,VA,23323,CHESAPEAKE (CITY),221112,Fossil Fuel Electric Power Generation,36.769444,-76.299721,1,ST,Storage Tank,145,1,1,1,VA-60163,24-Sep-09,Fire Department,19-Feb-15,1,1
5357,1E+11,EPA100000135007,McMillan Water Treatment Plant,Washington Aqueduct,18-Jun-09,786822510,"2500 First Street, NW",,Washington,DC,20001,DISTRICT OF COLUMBIA,22131,Water Supply and Irrigation Systems,38.9245,-77.013397,1,CE,Center of Facility,24,1,1,0,,27-Jan-04,EPA,15-Dec-10,2,2
5411,1E+11,EPA100000146656,Dalecarlia Water Treatment Plant,Washington Aqueduct,18-Jun-09,786822510,"5900 MacArthur Boulevard, NW",,Washington,DC,20016,DISTRICT OF COLUMBIA,22131,Water Supply and Irrigation Systems,38.938202,-77.113899,1,CE,Center of Facility,150,1,1,0,,20-Dec-05,EPA,6-Oct-11,2,5
5530,1E+11,EPA100000175945,Solo Cup Company,,12-Jun-06,0,1000 Industrial Park Drive,P.O. Box 129,Federalsburg,MD,21632,CAROLINE,322215,Nonfolding Sanitary Food Container Manufacturing,38.689999,-75.760002,1,NE,NE Corner of Land Parcel,700,1,1,0,,26-May-05,State environmental agency,1-Sep-11,2,1
5536,1E+11,EPA100000176506,NRV Regional Water Authority,,5-Feb-18,74752270,3515 Peppers Ferry Road,,Radford,VA,24141,MONTGOMERY,22131,Water Supply and Irrigation Systems,37.170834,-80.51889,1,CE,Center of Facility,19,1,1,0,,25-Nov-13,State occupational safety agency,,,1
5595,1E+11,EPA100000187772,SPRING HOLLOW Water Treatment Facility,Western Virginia Water Authority,2-Apr-19,0,6200 West Main Street,,Salem,VA,24153,ROANOKE,22131,Water Supply and Irrigation Systems,37.239166,-80.180832,1,FC,Facility Centroid,9,1,1,0,,31-Aug-17,OSHA,,,1
5690,1E+11,EPA100000226935,Town of Wytheville Wastewater Treatment Plant,,7-Apr-20,4487146,852 Atkins Mill Road,,Wytheville,VA,24382,WYTHE,22132,Sewage Treatment Facilities,36.937294,-81.061813,1,CE,Center of Facility,11,1,1,0,,1-Oct-15,VML Insurance,,,1
5757,1E+11,EPA100000001749,Americold- Chesapeake,Americold,22-Jan-20,75479931,1229 Fleetway Drive,,Chesapeake,VA,23323,CHESAPEAKE (CITY),49312,Refrigerated Warehousing and Storage,36.777939,-76.371445,2,PG,Plant Entrance (General),44,1,1,0,,1-Oct-19,OSHA,,,3
5824,1E+11,EPA100000003952,"Boar's Head Provisions Co., Inc. - Jarratt",,30-Jan-18,126335244,2230 Wyatts Mill Road,,Jarratt,VA,23867,GREENSVILLE,49312,Refrigerated Warehousing and Storage,36.826805,-77.523277,2,PU,Process Unit,570,1,1,0,,25-Oct-17,EPA,,,2
5898,1E+11,EPA100000005674,Westside Wastewater Treatment Plant,The Sanitary Board of Bluefield,27-Sep-17,76825348,203 Parsley Street,,Bluefield,VA,24605,TAZEWELL,22132,Sewage Treatment Facilities,37.260712,-81.281425,2,PU,Process Unit,14,1,1,0,,15-Apr-07,State occupational safety agency,,,1
5938,1E+11,EPA100000006502,"Calvert Cliffs Nuclear Power Plant, Inc.",Constellation Energy,27-Oct-06,83157250,1650 Calvert Cliffs Parkway,,Lusby,MD,20657,CALVERT,221113,Nuclear Electric Power Generation,38.435833,-76.442497,2,ST,Storage Tank,830,0,1,1,24-009-00012,1-Apr-02,State occupational safety agency,24-Sep-08,2,2
5950,1E+11,EPA100000006806,Radford Army Ammunition Plant,N/A,11-Oct-20,0,4050 Peppers Ferry Road,,Radford,VA,24143,MONTGOMERY,32592,Explosives Manufacturing,37.178574,-80.537193,2,AB,Administrative Building,1100,1,1,1,51-121-0006,14-Sep-20,Defense Contract Management Agency,,,1
6215,1E+11,EPA100000012336,Lineage Logistics Lyndhurst,"Lineage Logistics Holdings, LLC",4-Jun-18,0,383 Mt. Torrey Road,,Lyndhurst,VA,22952,AUGUSTA,49312,Refrigerated Warehousing and Storage,38.031239,-78.939102,2,ST,Storage Tank,80,1,1,0,,7-Sep-17,State occupational safety agency,,,3
6234,1E+11,EPA100000012853,Wastewater Treatment Plant,City of Martinsville,4-Feb-20,0,801 Wind Dancer Lane,,Ridgeway,VA,24148,HENRY,22132,Sewage Treatment Facilities,36.645611,-79.835098,2,CE,Center of Facility,17,1,1,0,,29-Sep-04,Fire Department,,,4
6264,1E+11,EPA100000013601,Burris Logistics - New Castle DE,"Burris Logistics, Inc.",11-Nov-16,137445107,1000 Centerpoint Blvd,,New Castle,DE,19720,NEW CASTLE,49312,Refrigerated Warehousing and Storage,39.658859,-75.59481,2,ST,Storage Tank,95,1,1,0,,28-Oct-16,Fire Dept. & LEPC,,,5
6490,1E+11,EPA100000018928,"Burris Logistics, Federalsburg",Burris Logistics,22-Feb-18,614309201,3946 Federalsburg Highway,,Federalsburg,MD,21632,CAROLINE,49312,Refrigerated Warehousing and Storage,38.714668,-75.789558,2,PG,Plant Entrance (General),65,1,1,0,,12-May-17,Ammonia Safety Management,,,3
6622,1E+11,EPA100000022094,ARWA Water Treatment Plant,,15-Feb-10,82872599,21300 Chesdin Road,,Petersburg,VA,23803,CHESTERFIELD,22131,Water Supply and Irrigation Systems,37.225555,-77.519165,2,CE,Center of Facility,22,1,1,0,,21-Sep-00,State occupational safety agency,17-Feb-11,4,2
6647,1E+11,EPA100000022584,"Smithfield, Landover Division",Smithfield,13-Jul-09,43205053,5801 Columbia Park Road,,Landover,MD,20785,PRINCE GEORGE'S,311612,Meat Processed from Carcasses,38.916645,-76.907516,2,PG,Plant Entrance (General),200,1,1,0,,15-Mar-10,EPA,31-Oct-13,3,1
6881,1E+11,EPA100000027179,"King George, VA 325",Crop Production Services,18-Jun-14,0,2453 Birchwood Creek Road,,King George,VA,22485,KING GEORGE,42491,Farm Supplies Merchant Wholesalers,38.267132,-77.305466,2,CE,Center of Facility,8,0,1,0,,20-May-13,Fire Department,18-Dec-17,2,1
6886,1E+11,EPA100000027286,Gordonsville Power Station,Virginia Electric and Power Company,13-Nov-18,0,819 Hill Rd.,,Gordonsville,VA,22942,LOUISA,22111,Electric Power Generation,38.1245,-78.203102,2,CE,Center of Facility,20,0,1,1,40808,,EPA,,,2
6896,1E+11,EPA100000027473,"Milford, DE 1334","Royster-Clark, Inc.",1-Nov-05,785525494,250 North Rehobeth Blvd,,Milford,DE,19963,KENT,42491,Farm Supplies Merchant Wholesalers,38.917,-75.422028,2,CE,Center of Facility,15,0,1,0,,12-Jul-00,Fire Department,18-Jan-06,2,3
6899,1E+11,EPA100000027525,Cox Creek Water Reclamation Plant,Anne Arundel County Maryland,19-May-14,0,8833 Wagner Station Road,,Curtis Bay,MD,21226,ANNE ARUNDEL,22132,Sewage Treatment Facilities,39.174557,-76.53492,2,CE,Center of Facility,13,1,1,0,,17-Feb-09,Fire Department,8-Apr-19,2,1
6901,1E+11,EPA100000027561,Broadwater Water Reclamation Facility,"Dept of Public Works, Anne Arundel County, Md.",21-Jun-04,0,1161 Deep Cove Road,,Churchton,MD,20733,ANNE ARUNDEL,22132,Sewage Treatment Facilities,38.812057,-76.524025,2,CE,Center of Facility,6,1,1,0,,12-Aug-03,Fire Department,14-Oct-05,4,1
6906,1E+11,EPA100000027632,Annapolis Water Reclamation Facility,Anna Arundel County,21-Jun-04,0,7228 Edgewood Road,,Annapolis,MD,21403,ANNE ARUNDEL,22132,Sewage Treatment Facilities,38.958111,-76.481361,2,CE,Center of Facility,14,1,1,0,,7-Jan-01,EPA,14-Jun-07,2,2
6909,1E+11,EPA100000027712,Broadneck Water Reclamation Facility,Anne Arundel County,9-Jun-14,0,1340 Log Inn Road,,Annapolis,MD,21409,ANNE ARUNDEL,22132,Sewage Treatment Facilities,39.025555,-76.406944,2,CE,Center of Facility,11,1,1,0,,21-Nov-12,Fire Department,30-Oct-15,2,1
6912,1E+11,EPA100000027776,Arnold WTP,Anne Arundel County Maryland,21-Jun-04,0,1336 Jones Station Road,,Arnold,MD,21012,ANNE ARUNDEL,22131,Water Supply and Irrigation Systems,39.034611,-76.490974,2,CE,Center of Facility,1,1,1,0,,,Fire Department,18-Jul-08,2,3
6917,1E+11,EPA100000027847,Dorsey Road Water Treatment Plant,Anne Arundel County Maryland,12-Jun-09,0,980 Stewart Ave.,,Glen Burnie,MD,21061,ANNE ARUNDEL,22131,Water Supply and Irrigation Systems,39.164276,-76.644859,2,CE,Center of Facility,0,1,1,0,,12-Sep-06,State environmental agency,1-Apr-10,2,4
6919,1E+11,EPA100000027874,"Kraft Foods Global, Inc.",Kraft Foods Inc.,21-Jun-04,39010590,220 Park Center Drive,,Winchester,VA,22603,FREDERICK,311991,Perishable Prepared Food Manufacturing,39.2075,-78.146942,2,CE,Center of Facility,550,1,1,0,,4-Jan-99,OSHA,27-Oct-04,1,3
6920,1E+11,EPA100000027892,Patuxent Water Reclamation Facility,"Anne Arundel County, Md",21-Jun-04,0,1236 Cronson Blvd,,Crofton,MD,21114,ANNE ARUNDEL,22132,Sewage Treatment Facilities,39.018055,-76.700584,2,CE,Center of Facility,14,1,1,0,,29-Mar-99,Fire Department,26-Aug-05,4,2
6921,1E+11,EPA100000027909,"Agrium U.S., Inc Norfolk, VA","Agrium U.S., Inc",14-Nov-06,0,1400 Weaver Lane,,Chesapeake,VA,23320,CHESAPEAKE (CITY),325314,Fertilizer (Mixing Only) Manufacturing,36.770695,-76.293114,2,PG,Plant Entrance (General),33,1,1,1,AFS 5155000044,9-Mar-06,OSHA,26-Oct-07,3,4
6925,1E+11,EPA100000027963,Broad Creek II Water Treatment Plant.,Anne Arundel County Maryland,12-Jun-09,0,165 Harry S Truman Parkway,,Annapolis,MD,21401,ANNE ARUNDEL,22131,Water Supply and Irrigation Systems,38.980499,-76.560501,2,CE,Center of Facility,1,1,1,0,,,Fire Department,31-Mar-10,2,5
6927,1E+11,EPA100000028007,Crofton Meadows II  Water Plant,Anne Arundel County Maryland,21-Jun-04,0,1600 Reidel Road,,Crofton,MD,21114,ANNE ARUNDEL,22131,Water Supply and Irrigation Systems,39.017776,-76.67308,2,CE,Center of Facility,1,1,1,0,,15-Jul-03,Fire Department,1-Dec-08,2,2
6934,1E+11,EPA100000028187,"Denton, MD 1338","Royster-Clark, Inc.",27-Oct-04,785525494,10413 River Landing Road,,Denton,MD,21629,CAROLINE,42491,Farm Supplies Merchant Wholesalers,38.893002,-75.836723,2,CE,Center of Facility,11,0,1,0,,1-Nov-02,Fire Department,14-Mar-06,2,1
6941,1E+11,EPA100000028301,"Snow Hill, MD 1342","Royster-Clark, Inc.",22-Jun-04,785525494,308 Timmons Street,,Snow Hill,MD,21863,WORCESTER,42491,Farm Supplies Merchant Wholesalers,38.178555,-75.384613,2,CE,Center of Facility,2,0,1,0,,20-Feb-03,Fire Department,25-Jan-06,2,1
6999,1E+11,EPA100000029453,"Mt Airy, MD","Willard Agri-Service, Inc",10-Jun-19,0,1203 Rising Ridge Road,,Mt Airy,MD,21771,FREDERICK,42491,Farm Supplies Merchant Wholesalers,39.368073,-77.170425,2,ST,Storage Tank,14,0,1,0,,9-Jan-18,EPA,,,1
7005,1E+11,EPA100000029541,"Frederick, MD","Willard Agri-Service, Inc",4-Jun-19,0,50 South Wisner Street,,Frederick,MD,21705,FREDERICK,42491,Farm Supplies Merchant Wholesalers,39.410721,-77.402367,2,ST,Storage Tank,26,0,1,0,,8-Aug-18,EPA,29-Jan-21,2,1
7010,1E+11,EPA100000029685,BVPISA WASTE WATER TREATMENT FACILITY,,11-Jun-09,74752262,5277 Prices Fork Road,,Blacksburg,VA,24060,MONTGOMERY,22132,Sewage Treatment Facilities,37.191387,-80.519447,2,FC,Facility Centroid,14,1,1,1,20911,28-Jan-09,Virginia Municipal League,1-Aug-13,2,1
7119,1E+11,EPA100000031823,KNSG Wastewater Treatment Plant,Queen Anne's County Sanitary District,14-Sep-05,0,310 Bateau Drive,,Stevensville,MD,21666,QUEEN ANNE'S,22132,Sewage Treatment Facilities,38.985832,-76.323334,2,AB,Administrative Building,40,1,1,0,,12-Jan-00,State occupational safety agency,24-Jul-07,1,5
7214,1E+11,EPA100000033983,"Whiteford, MD 1336","Royster-Clark, Inc.",7-Jun-05,785525494,2425 Whiteford Road,,Whiteford,MD,21160,HARFORD,42491,Farm Supplies Merchant Wholesalers,39.712166,-76.348251,2,CE,Center of Facility,8,0,1,0,,20-Jun-00,Fire Department,18-Jan-06,2,2
7295,1E+11,EPA100000035525,"Lynch, MD","Willard Agri-Service, Inc",3-Jun-19,0,11523 Lynch Road,,Lynch,MD,21678,KENT,42491,Farm Supplies Merchant Wholesalers,39.295444,-76.060196,2,ST,Storage Tank,13,0,1,0,,3-Oct-18,EPA,,,1
7424,1E+11,EPA100000038103,Smithfield Pet,"United Global Foods (US) Holdings, Inc.",18-Feb-21,75766139,501 North Church Street,,Smithfield,VA,23430,ISLE OF WIGHT,311111,Dog and Cat Food Manufacturing,36.993008,-76.62925,2,OT,Other,82,1,1,0,,30-Apr-14,State occupational safety agency,,,1
7445,1E+11,EPA100000038407,"Valleydale Foods, Inc",Smithfield,10-Jun-04,43205053,1013 Iowa Street,,Salem,VA,24153,SALEM (CITY),311612,Meat Processed from Carcasses,37.283024,-80.045326,2,PG,Plant Entrance (General),290,1,1,0,,15-Nov-00,State occupational safety agency,22-Jun-06,3,3
7456,1E+11,EPA100000038586,The Smithfield Packing Co. Inc. - Portsmouth,The Smithfield Packing Co. Inc,30-Jun-09,3110913,2175 Elmhurst Lane,,Portsmouth,VA,23701,PORTSMOUTH (CITY),311612,Meat Processed from Carcasses,36.803871,-76.379883,2,PG,Plant Entrance (General),450,1,1,0,,15-Feb-11,Fire Protection Company,10-Sep-13,3,4
7469,1E+11,EPA100000038862,Lesaffre Yeast Corporation,Lesaffre Yeast Corporation,21-Jun-04,0,2100 Van Deman Street,Holabird Business Park,Baltimore,MD,21224,BALTIMORE CITY,311999,All Other Miscellaneous Food Manufacturing,39.268059,-76.537582,2,PG,Plant Entrance (General),120,1,1,1,pending,18-Jun-03,OSHA,11-Aug-09,3,2
7543,1E+11,EPA100000040314,Kent County Regional Wastewater Treatment Facility,Kent County Levy Court,16-Nov-06,0,139 Milford Neck Rd.,,Milford,DE,19963,KENT,22132,Sewage Treatment Facilities,38.993759,-75.437981,2,CE,Center of Facility,45,1,1,0,,,Never had one,9-Nov-10,2,2
7544,1E+11,EPA100000040341,Merchants Terminal Corporation-Baltimore,"Hoffberger Holdings, Inc.",8-May-09,0,501 North Kresson Street,,Baltimore,MD,21224,BALTIMORE,49312,Refrigerated Warehousing and Storage,39.295834,-76.561111,2,PG,Plant Entrance (General),22,1,1,0,,16-May-08,Traveler's Insurance Company,18-Apr-14,4,2
7550,1E+11,EPA100000040458,Merchants Terminal Corporation - Landover,"Hoffberger Holdings, Inc.",8-May-09,0,1811 Cabin Branch Drive,,Landover,MD,20785,PRINCE GEORGE'S,49312,Refrigerated Warehousing and Storage,38.913891,-76.900002,2,PG,Plant Entrance (General),24,1,1,0,,27-Aug-08,EPCRA,18-Apr-14,4,1
